dbn,school_name,school_type,enrollment,survey_pp_RI,survey_pp_CT,survey_pp_SE,survey_pp_ES,survey_pp_SF,survey_pp_TR,QR_1_1,QR_1_2,QR_2_2,QR_3_4,QR_4_2,QR_1_4,QR_1_3,QR_3_1,QR_4_1,QR_5_1,Dates_of_Review,gender_female_pct,gender_male_pct,ELL,IEP,cap_setss_pct,cap_ctt_pct,cap_sc_pct,eni_pct,temp_housing_pct,hra_elig_pct,ethnicity_asian_pct,ethnicity_black_pct,ethnicity_hispanic_pct,ethnicity_amerindian_pct,ethnicity_pacific_pct,ethnicity_white_pct,teacher_ethnicity_asian_pct,teacher_ethnicity_black_pct,teacher_ethnicity_hispanic_pct,teacher_ethnicity_amerindian_pct,teacher_ethnicity_pacific_pct,teacher_ethnicity_white_pct,median_distance,near_pct_asian,near_pct_black,near_pct_hispanic,near_pct_amerindian,near_pct_pacific,near_pct_white,ethnicity_asian_pct_dist,ethnicity_black_pct_dist,ethnicity_hispanic_pct_dist,ethnicity_amerindian_pct_dist,ethnicity_pacific_pct_dist,ethnicity_white_pct_dist,Principal_experience,Teach_3_more_exp,val_attendance_k3_all,Teacher_attendance,pct_fully_receiving_swd,pct_partially_receiving_swd,pct_not_receiving_swd,pct_fully_receiving_rs,pct_partially_receiving_rs,pct_not_receiving_rs,n_chronic_absent_all,val_chronic_absent_all,n_lre_all,val_lre_all,rr_s,rr_t,rr_p,principal,n_attendance_inperson_k3_all,val_attendance_inperson_k3_all,n_attendance_k3_all,n_attendance_remote_k3_all,val_attendance_remote_k3_all
04M112,P.S. 112 Jose Celso Barbosa,K-2,233,No Data,No Data,No Data,0.99,0.99,0.96,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,No Data,No Data,No Data,No Data,No Data,2015-04-29T00:00:00.000,0.425,0.575,0.202,0.433,0.013,0.3,0.06,0.901,0.146,0.833,0.013,0.206,0.682,0.009,0.004,0.077,No Data,No Data,0.419,0,0,0.516,0.4,0.027,0.301,0.604,0.008,0.002,0.037,0.029,0.245,0.66,0.011,0.003,0.036,2,0.871,0.849,0.978,0.81,0.11,0.08,0.97,0,0.03,242,0.492,92,0.47,N/A,N/A,8%,Eileen Reiter,138,0.864,244,242,0.842
08X583,P.S. 583,K-3,253,0.84,1,0.95,0.98,0.98,0.99,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,2019-04-01T00:00:00.000,0.549,0.451,0.142,0.229,0,0.083,0.087,0.844,0.146,0.759,0.399,0.071,0.451,0.024,0.004,0.047,No Data,No Data,0.44,0,0,0.32,0.3,0.222,0.132,0.532,0.031,0.026,0.053,0.063,0.21,0.658,0.012,0.005,0.045,4.2,0.72,0.909,0.984,0.94,No Data,No Data,0.91,0,0.09,262,0.702,49,0.65,N/A,59%,4%,Glorimer Lopez,79,0.943,272,271,0.908
09X088,P.S. X088 - S. Silverstein Little Sparrow School,K-3,98,0.7,0.79,0.85,0.74,0.98,0.89,Developing,Developing,Developing,Proficient,Developing,Proficient,Proficient,Developing,Proficient,Developing,2018-05-01T00:00:00.000,0.602,0.398,0.153,0.143,0.01,0,0.082,0.969,0.337,0.878,0,0.173,0.806,0.01,0.01,0,No Data,No Data,No Data,0,0,No Data,0.1,0,0.362,0.615,0.007,0.003,0.003,0.009,0.275,0.69,0.006,0.002,0.013,16.6,0.111,0.898,0.985,No Data,0,No Data,0.96,No Data,No Data,101,0.634,8,0,N/A,89%,68%,MELINDA HYER,44,0.954,105,105,0.887
09X170,P.S. 170,K-2,187,0.92,0.94,0.96,0.97,0.98,0.98,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,2020-03-01T00:00:00.000,0.497,0.503,0.171,0.182,0.005,0.096,0.037,0.915,0.198,0.834,0.005,0.182,0.802,0,0,0.011,No Data,No Data,0.476,0,0,0.333,0.2,0.013,0.294,0.665,0.011,0,0.009,0.009,0.275,0.69,0.006,0.002,0.013,6,0.905,0.89,0.986,0.48,0.3,0.22,0.97,No Data,No Data,193,0.611,24,0.17,N/A,95%,69%,Sonia Acevedo Suarez,118,0.904,205,205,0.886
10X209,P.S. 209,K-2,220,0.83,0.96,0.92,0.95,0.96,0.97,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,No Data,No Data,No Data,No Data,No Data,2015-02-02T00:00:00.000,0.545,0.455,0.264,0.218,0,0.191,0,0.94,0.205,0.864,0,0.182,0.814,0,0.005,0,0,0,No Data,0,0,0.85,0.2,0.007,0.271,0.704,0.006,0.002,0.006,0.037,0.133,0.762,0.008,0.003,0.05,14.3,0.7,0.921,0.987,1,0,0,0.99,No Data,No Data,223,0.709,36,0.14,N/A,90%,96%,Ann Keegan,88,0.947,229,225,0.917
14K319,P.S. 319,K-1,79,0.85,0.97,0.94,0.97,0.96,0.98,Well Developed,Proficient,Proficient,Well Developed,Well Developed,No Data,No Data,No Data,No Data,No Data,2015-04-15T00:00:00.000,0.443,0.557,0.152,0.19,0,0.089,0.025,0.714,0.025,0.62,0.013,0.013,0.848,0,0,0.127,No Data,No Data,No Data,No Data,No Data,0.6,0.2,0.038,0.012,0.823,0,0,0.112,0.039,0.207,0.501,0.006,0.004,0.217,16,0.8,0.92,0.989,1,0,0,0.9,No Data,No Data,82,0.695,9,0.22,N/A,100%,75%,Aleyda Zamora-Martinez,47,0.931,87,87,0.916
15K896,The School of Creativity and Innovation,K-2,129,0.79,0.96,0.94,0.96,0.95,0.98,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.496,0.504,0.55,0.233,0,0.085,0.085,0.839,0.054,0.76,0.527,0.016,0.388,0,0.008,0.047,0.417,No Data,No Data,0,0,No Data,0.2,0.773,0.002,0.19,0.003,0.003,0.024,0.203,0.067,0.334,0.004,0.003,0.342,3.2,0.583,0.892,0.988,0.78,No Data,No Data,0.6,0,0.4,136,0.757,16,0.13,N/A,92%,82%,No Data,77,0.947,139,137,0.873
19K938,P.S. 938,K-1,30,No Data,No Data,No Data,1,0.97,1,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.5,0.5,0.1,0.1,0,0,0.033,0.904,0.133,0.833,0.033,0.133,0.767,0.067,0,0,0,No Data,No Data,0,0,No Data,0.3,0.147,0.159,0.633,0.035,0.002,0.018,0.111,0.353,0.488,0.017,0.006,0.018,1.2,0.8,0.89,0.996,No Data,No Data,No Data,1,0,0,30,0.6,1,No Data,N/A,80%,71%,No Data,18,0.926,33,32,0.875
20K939,Sunset School of Cultural Learning,K-1,65,0.83,1,0.97,0.99,0.96,0.99,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.6,0.4,0.2,0.277,0,0.092,0.108,0.796,0.231,0.708,0.169,0,0.723,0,0,0.108,No Data,0,No Data,0,0,No Data,0.3,0.183,0.009,0.73,0.004,0,0.072,0.509,0.009,0.244,0.004,0.001,0.226,1.2,0.667,0.934,0.996,0.77,No Data,No Data,0.9,No Data,No Data,65,0.754,8,0,N/A,100%,98%,No Data,40,0.931,69,66,0.938
22K326,P.S. 326,K-2,116,0.91,1,0.97,1,0.98,1,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Proficient,2019-11-01T00:00:00.000,0.517,0.483,0.284,0.284,0,0.129,0.112,0.672,0.026,0.629,0.138,0.664,0.129,0,0,0.026,No Data,No Data,No Data,No Data,No Data,0.8,0.6,0.062,0.752,0.094,0.018,0.012,0.039,0.195,0.283,0.162,0.011,0.009,0.322,1,0.933,0.906,0.987,1,0,0,0.97,No Data,No Data,116,0.733,29,0.28,N/A,100%,44%,COLLEEN DUCEY,74,0.945,119,119,0.881
